start,end,emission average
1. dewitt middle school,1. dewitt middle school,0
1. dewitt middle school,10. maint garage,13.73909672
1. dewitt middle school,2. northeast elementary,1.656752447
1. dewitt middle school,3. cayuga heights elementary,6.486123413
1. dewitt middle school,4. belle sherman,10.37922416
1. dewitt middle school,5. caroline elementary,32.3396651
1. dewitt middle school,6. south hill elementary,16.1412986
1. dewitt middle school,7. bjm elementary,14.50594662
1. dewitt middle school,8. fall creek elementary,12.16972949
1. dewitt middle school,9. boynton middle school,9.947648171
1. dewitt middle school,11. bus garage,11.13002371
1. dewitt middle school,12. enfield elementary,35.23229424
1. dewitt middle school,13. lehman alternative,17.1489037
1. dewitt middle school,14. tompkins recycling,18.59521827
1. dewitt middle school,tst boces tompkins,0.547495158
10. maint garage,1. dewitt middle school,13.27729312
10. maint garage,10. maint garage,0
10. maint garage,2. northeast elementary,14.08912656
10. maint garage,3. cayuga heights elementary,11.80454399
10. maint garage,4. belle sherman,5.701915663
10. maint garage,5. caroline elementary,23.48592521
10. maint garage,6. south hill elementary,4.217023723
10. maint garage,7. bjm elementary,1.840502744
10. maint garage,8. fall creek elementary,2.754682712
10. maint garage,9. boynton middle school,4.74089915
10. maint garage,11. bus garage,3.764270456
10. maint garage,12. enfield elementary,21.74083024
10. maint garage,13. lehman alternative,4.151105623
10. maint garage,14. tompkins recycling,5.557936655
10. maint garage,tst boces tompkins,12.92688638
11. bus garage,1. dewitt middle school,8.650883302
11. bus garage,10. maint garage,5.972526811
11. bus garage,2. northeast elementary,7.98649824
11. bus garage,3. cayuga heights elementary,3.552638661
11. bus garage,4. belle sherman,5.779976571
11. bus garage,5. caroline elementary,23.56398612
11. bus garage,6. south hill elementary,5.221407407
11. bus garage,7. bjm elementary,4.397431155
11. bus garage,8. fall creek elementary,1.358259801
11. bus garage,9. boynton middle school,2.013971428
11. bus garage,11. bus garage,0
11. bus garage,12. enfield elementary,26.87897268
11. bus garage,13. lehman alternative,9.289248061
11. bus garage,14. tompkins recycling,9.315268364
11. bus garage,tst boces tompkins,11.71780965
12. enfield elementary,1. dewitt middle school,34.82149652
12. enfield elementary,10. maint garage,21.97093666
12. enfield elementary,2. northeast elementary,35.64534063
12. enfield elementary,3. cayuga heights elementary,33.32695881
12. enfield elementary,4. belle sherman,25.09027804
12. enfield elementary,5. caroline elementary,47.85161215
12. enfield elementary,6. south hill elementary,25.31912363
12. enfield elementary,7. bjm elementary,21.69808231
12. enfield elementary,8. fall creek elementary,24.10096097
12. enfield elementary,9. boynton middle school,26.1588109
12. enfield elementary,11. bus garage,27.32592339
12. enfield elementary,12. enfield elementary,0
12. enfield elementary,13. lehman alternative,18.53297181
12. enfield elementary,14. tompkins recycling,23.74713048
12. enfield elementary,tst boces tompkins,34.46590569
13. lehman alternative,1. dewitt middle school,16.89745534
13. lehman alternative,10. maint garage,4.178191165
13. lehman alternative,2. northeast elementary,17.71288214
13. lehman alternative,3. cayuga heights elementary,15.4181875
13. lehman alternative,4. belle sherman,7.265661867
13. lehman alternative,5. caroline elementary,28.05033343
13. lehman alternative,6. south hill elementary,7.492169311
13. lehman alternative,7. bjm elementary,3.908124597
13. lehman alternative,8. fall creek elementary,6.286452762
13. lehman alternative,9. boynton middle school,8.323277396
13. lehman alternative,11. bus garage,9.478465361
13. lehman alternative,12. enfield elementary,18.44293306
13. lehman alternative,13. lehman alternative,0
13. lehman alternative,14. tompkins recycling,10.45070501
13. lehman alternative,tst boces tompkins,16.54549762
14. tompkins recycling,1. dewitt middle school,18.4362518
14. tompkins recycling,10. maint garage,5.773037824
